crunch_id,name,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
33needs,"33needs",1,0,0,0,1,0,0.0,0,0,0,0,1,0
347design-2,"347 Design",0,0,1,0,0,0,0.0,0,0,0,0,0,0
360-revelations,"360 Revelations",3,0,1,0,0,0,0.0,0,0,0,0,2,0
360-sports-software,"360 Sports Software",0,0,1,1,0,0,0.0,0,0,0,0,1,0
360-thinking,"360 Thinking",0,0,1,0,0,0,0.0,0,0,0,0,0,0
360-vantage,"360 Vantage",0,0,1,3,0,0,0.0,0,0,0,0,2,0
360cities,"360Cities",0,0,1,2,0,1,0.0,0,0,0,0,2,0
360fashion-network,"360Fashion Network",0,0,2,0,0,0,0.0,0,0,0,0,0,0
360fusion,"360fusion",0,0,1,0,0,0,0.0,0,0,0,0,0,0
360incentives-com,"360incentives.com",0,0,1,0,0,1,0.765,0,0,2,0,1,0
360innovate,"360innovate",0,0,0,0,0,0,0.0,0,0,0,0,0,0
360is,"360is",0,0,1,0,0,0,0.0,0,0,0,0,0,0
360jobinterview-com,"360jobinterview.com",0,0,1,0,0,0,0.0,0,0,0,0,2,0
360report,"360report",0,0,1,0,0,0,0.0,0,0,0,0,1,0
360vr,"360VR",0,0,0,0,0,0,0.0,0,0,0,0,0,0
365-retail-markets,"365 Retail Markets",0,0,1,0,0,0,0.0,0,0,0,0,0,0
38-studios,"38 Studios",1,0,1,0,0,0,0.0,1,0,0,0,2,0
39-celsius-web-marketing-consulting,"39 Celsius Web Marketing Consulting",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3ad-at,"3ad.at",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3advance,"3ADVANCE",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3al-universal-trade,"3AL Universal Trade ",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3ality-digital,"3ality Technica",10,0,1,6,0,0,0.0,1,0,0,0,0,0
3biz,"3biz",0,6,1,1,0,0,0.0,0,0,0,0,2,0
3c-interactive,"3Cinteractive",4,0,3,2,0,0,0.0,0,0,0,0,3,0
3c-limited,"3C Limited",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3cityadvertising-com,"3CityAdvertising.com",0,0,1,0,1,0,0.0,0,0,0,0,0,0
3clickemr-corporation,"3ClickEMR Corporation",0,7,1,0,0,2,0.05,0,0,0,1,0,0
3clogic,"3clogic",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3crumbs-2,"3Crumbs",1,0,1,0,0,0,0.0,0,0,0,0,0,0
3d-hubs,"3D Hubs",0,1,1,0,0,0,0.0,0,0,0,0,0,0
3d-technologies-r-d,"3D Technologies R&D",0,0,1,1,0,0,0.0,0,0,0,0,0,0
3dcadportal,"3DCadPortal",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3dealz-com,"3Dealz.com",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3defy,"3Defy",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3degreesnation,"3DegreesNation",0,0,1,0,0,0,0.0,0,0,0,0,1,0
3desk,"3Desk",0,0,0,0,0,0,0.0,0,0,0,0,2,0
3dgis,"3DGIS",0,4,2,0,0,0,0.0,0,0,0,1,0,0
3dicd,"3DiCD",1,0,0,1,0,0,0.0,0,0,0,0,0,0
3dsoc,"3DSoC",0,1,1,0,0,1,0.0,0,0,1,1,0,0
3dynamics,"3Dynamics",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3f,"3F",0,0,3,0,0,0,0.0,0,0,0,0,0,0
3floz-com,"3floz.com",0,0,1,4,0,0,0.0,0,0,0,0,2,0
3g-logic-infotech,"3G Logic Infotech",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3g-multimedia,"3G Multimedia",0,3,1,0,0,1,0.17,0,0,1,0,0,0
3guppies,"3Guppies",0,0,1,0,0,1,2.0,0,0,1,0,0,0
3jam,"3Jam",0,0,1,1,0,1,0.4,0,0,2,0,2,0
3leaf,"3Leaf",0,0,1,0,0,3,6.5,0,0,11,0,1,0
3maps-ilovevitaly-project,"3Maps iLoveVitaly prOject",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3monx,"3Monx",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3oclockclub,"3oclockclub",0,2,1,0,2,0,0.0,0,0,0,1,0,0
3presupuestos,"3presupuestos",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3rd-eye-web-solution,"3rd Eye Web Solution",0,0,1,0,1,0,0.0,0,0,0,0,0,0
3rd-planet,"3rd Planet",8,0,2,1,0,2,0.15,0,0,2,0,0,0
3rd-sensation,"3rd Sensation",1,0,1,0,0,0,0.0,0,0,0,0,0,0
3roam,"3ROAM",0,0,1,0,0,1,0.11,0,0,2,0,0,0
3stepadvertising,"3stepAdvertising",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3tailer,"3tailer",0,3,1,0,0,0,0.0,0,0,0,1,4,0
