crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,success
apploors,0,0,0,0,0,0,0.0,0,0,0,0
applosophy,0,2,1,0,0,0,0.0,0,0,0,0
appluna,0,0,0,0,0,0,0.0,0,0,0,0
appmakr,1,0,1,0,0,1,0.1,0,0,7,0
appmarketingagentur,0,0,1,0,0,0,0.0,0,0,0,0
appmatrix,0,0,0,0,0,0,0.0,0,0,0,0
appmob,0,0,0,0,0,0,0.0,0,0,0,0
appmobi,11,4,1,4,0,2,0.81,1,0,0,0
appmobilize,0,0,0,0,0,0,0.0,0,0,0,0
appmonsta,0,0,1,0,0,0,0.0,0,0,0,0
appmunki,0,0,0,0,0,0,0.0,0,0,0,0
appmyday,0,0,1,0,0,1,0.0,0,0,0,0
appmyworld,0,0,1,0,0,0,0.0,0,0,0,0
appnific,0,0,1,0,0,0,0.0,0,0,0,0
appninjas,2,2,1,1,0,0,0.0,0,0,0,1
appnique,0,0,1,0,0,0,0.0,0,0,0,0
appnormal-com,0,0,2,0,0,0,0.0,0,0,0,0
appoday,0,0,1,0,0,0,0.0,0,0,0,0
appoke,0,3,1,0,0,0,0.0,0,0,0,0
appolicious,1,2,1,0,0,1,0.207,1,0,1,0
apportable,0,0,1,0,0,0,0.0,0,0,0,0
appota,0,0,1,0,0,0,0.0,0,0,0,0
appovation,0,0,0,0,0,0,0.0,0,0,0,0
appoxee,0,1,0,0,0,1,0.0,0,0,1,0
apppli,0,0,1,0,0,0,0.0,0,0,0,0
appremix,0,0,0,3,0,0,0.0,0,0,0,0
apprion,0,0,1,0,0,3,2.75,0,0,12,0
approid-me,0,0,0,0,0,0,0.0,0,0,0,0
approves-it,0,0,1,0,0,0,0.0,0,0,0,0
apprupt,0,0,1,0,0,2,0.0,0,0,6,0
apps-4-cheap,0,0,1,0,0,0,0.0,0,0,0,0
apps-culture,0,0,1,0,0,0,0.0,0,0,0,0
apps-foundry,0,0,0,0,0,1,0.24,0,0,1,0
apps-over-easy,0,0,1,0,0,0,0.0,0,0,0,0
apps4all,0,0,1,0,0,1,0.05,0,0,1,0
appsafari,0,0,0,0,0,0,0.0,0,0,0,0
appsbidder,0,0,1,0,0,0,0.0,0,0,0,0
appsbuilder,4,3,2,0,1,2,0.15,0,0,6,0
appscend,1,0,2,0,0,0,0.0,0,0,0,0
appscribe,0,1,0,0,0,0,0.0,0,0,0,0
appsfire,2,0,2,2,0,2,0.46,0,0,7,0
appsfuel,0,0,1,0,0,0,0.0,0,0,0,0
appsfunder,0,2,1,0,0,2,0.025,0,0,2,0
appshed,0,0,1,0,0,0,0.0,0,0,0,0
appshows,0,0,1,0,0,0,0.0,0,0,0,0
appsify-me,0,0,1,0,0,0,0.0,0,0,0,0
appsknack,0,0,0,0,0,0,0.0,0,0,0,0
appsmakerstore,0,0,1,0,0,0,0.0,0,0,0,0
appsmarketing-mobi,0,0,0,0,0,0,0.0,0,0,0,0
appsocial-media,0,0,1,0,0,0,0.0,0,0,0,0
appsolute-genius,0,0,2,0,0,0,0.0,0,0,0,0
appsperse,0,1,0,0,0,1,0.0,0,0,1,0
appspit,0,0,0,0,1,0,0.0,0,0,0,0
