crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
724kirala-com,0,0,1,0,0,0,0.0,0,0,0,0,0,0
72interactive,0,0,1,0,4,0,0.0,0,0,0,0,0,0
72lux,11,0,1,0,0,0,0.0,0,0,0,0,0,0
72photos,0,5,0,0,0,0,0.0,0,0,0,2,1,0
77-digital,0,0,0,0,0,0,0.0,0,0,0,0,0,0
77-pieces,1,2,3,0,0,1,0.065,0,0,0,0,2,0
770-sport-shop-inc,0,0,0,0,0,0,0.0,0,0,0,0,0,0
770-sportshop,0,0,0,2,1,0,0.0,0,0,0,0,0,0
7able,0,0,1,0,0,0,0.0,0,0,0,0,1,0
7ages,0,0,1,0,0,0,0.0,0,0,0,0,3,0
7arena,0,0,1,0,1,0,0.0,0,0,0,0,1,0
7boxes,0,3,0,0,0,0,0.0,0,0,0,2,0,0
7ecom,0,0,1,0,0,0,0.0,0,0,0,0,0,0
7epicdays-com,0,0,0,0,0,0,0.0,0,0,0,0,2,0
7kb,0,4,0,0,0,0,0.0,0,0,0,1,5,0
7red-caino,0,0,0,0,0,0,0.0,0,0,0,0,0,0
7segments,0,0,2,0,0,0,0.0,0,0,0,0,0,0
7syntax,0,0,1,0,0,0,0.0,0,0,0,0,0,0
7th-list,0,5,0,0,0,0,0.0,0,0,0,1,2,0
7th-media-design-studio,0,0,1,0,0,0,0.0,0,0,0,0,0,0
7thingsmedia-ltd,0,0,2,0,0,0,0.0,0,0,0,0,1,0
7thingsmedia,0,0,2,0,0,0,0.0,0,0,0,0,1,0
8-5x14-media,0,0,1,0,0,1,0.005,0,0,1,0,3,0
8-billion-lives,0,0,1,0,0,0,0.0,0,0,0,0,0,0
8-plus-holdings,0,0,1,0,0,0,0.0,0,0,0,0,0,0
8-rivers-capital,0,0,1,0,0,0,0.0,0,0,0,0,2,0
8-securities-limited,6,1,1,0,0,3,1.3,0,0,3,0,0,0
815-productions,0,0,1,0,0,0,0.0,0,0,0,0,2,1
86-interactive,0,0,0,0,0,0,0.0,0,0,0,0,0,0
88db-india,0,0,0,0,0,0,0.0,0,0,0,0,0,0
88hours,0,0,1,0,0,0,0.0,0,0,0,0,0,0
89n,0,2,1,0,1,0,0.0,0,0,0,0,5,0
8aweek,0,3,1,0,0,0,0.0,0,0,0,0,7,0
8byte8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
